Time,Channel A
(s),(V)

0.00000000,0.95895260
0.00033400,0.95895260
0.00066800,0.95895260
0.00100200,0.95895260
0.00133600,0.95895260
0.00167000,0.95895260
0.00200400,0.95895260
0.00233800,0.97665330
0.00267200,0.95895260
0.00300600,0.97665330
0.00334000,0.95895260
0.00367400,0.95895260
0.00400800,0.97665330
0.00434200,0.95895260
0.00467600,0.97665330
0.00501000,0.97665330
0.00534400,0.95895260
0.00567800,0.97665330
0.00601200,0.95895260
0.00634600,0.97665330
0.00668000,0.97665330
0.00701400,0.97665330
0.00734800,0.97665330
0.00768200,0.97665330
0.00801600,0.97665330
0.00835000,0.97665330
0.00868400,0.97665330
0.00901800,0.97665330
0.00935200,0.97665330
0.00968600,0.97665330
0.01002000,0.97665330
0.01035400,0.97665330
0.01068800,0.97665330
0.01102200,0.97665330
0.01135600,0.97665330
0.01169000,0.97665330
0.01202400,0.97665330
0.01235800,0.97665330
0.01269200,0.97665330
0.01302600,0.97665330
0.01336000,0.97665330
0.01369400,0.97665330
0.01402800,-1.00558500
0.01436200,-1.00558500
0.01469600,-1.00558500
0.01503000,-0.98788420
0.01536400,-1.00558500
0.01569800,-1.00558500
0.01603200,-1.00558500
0.01636600,-1.00558500
0.01670000,-0.98788420
0.01703400,-1.00558500
0.01736800,-1.00558500
0.01770200,-1.00558500
0.01803600,-0.98788420
0.01837000,-1.00558500
0.01870400,-0.98788420
0.01903800,-0.98788420
0.01937200,-0.98788420
0.01970600,-0.98788420
0.02004000,-0.98788420
0.02037400,-0.98788420
0.02070800,-0.98788420
0.02104200,-0.98788420
0.02137600,-0.98788420
0.02171000,-0.98788420
0.02204400,-0.97018340
0.02237800,-0.98788420
0.02271200,-0.98788420
0.02304600,-0.98788420
0.02338000,-0.97018340
0.02371400,-0.98788420
0.02404800,-0.97018340
0.02438200,-0.97018340
0.02471600,-0.98788420
0.02505000,-0.97018340
0.02538400,-0.98788420
0.02571800,-0.97018340
0.02605200,-0.97018340
0.02638600,-0.97018340
0.02672000,-0.97018340
0.02705400,-0.97018340
0.02738800,-0.97018340
0.02772200,-0.97018340
0.02805600,-0.97018340
0.02839000,-0.97018340
0.02872400,-0.97018340
0.02905800,-0.97018340
0.02939200,-0.97018340
0.02972600,-0.97018340
0.03006000,-0.95248270
0.03039400,-0.97018340
0.03072800,-0.95248270
0.03106200,-0.97018340
0.03139600,-0.97018340
0.03173000,-0.97018340
0.03206400,-0.97018340
0.03239800,-0.97018340
0.03273200,-0.97018340
0.03306600,-0.97018340
0.03340000,-0.95248270
0.03373400,-0.97018340
0.03406800,-0.95248270
0.03440200,-0.95248270
0.03473600,-0.95248270
0.03507000,-0.95248270
0.03540400,-0.95248270
0.03573800,-0.95248270
0.03607200,-0.95248270
0.03640600,-0.95248270
0.03674000,-0.95248270
0.03707400,-0.95248270
0.03740800,-0.95248270
0.03774200,-0.95248270
0.03807600,-0.95248270
0.03841000,-0.95248270
0.03874400,-0.95248270
0.03907800,-0.95248270
0.03941200,-0.95248270
0.03974600,-0.95248270
0.04008000,-0.95248270
0.04041400,-0.95248270
0.04074800,-0.95248270
0.04108200,-0.95248270
0.04141600,-0.95248270
0.04175000,-0.93478200
0.04208400,-0.95248270
0.04241800,-0.95248270
0.04275200,-0.93478200
0.04308600,-0.93478200
0.04342000,-0.93478200
0.04375400,-0.93478200
0.04408800,-0.95248270
0.04442200,-0.93478200
0.04475600,-0.95248270
0.04509000,-0.95248270
0.04542400,-0.95248270
0.04575800,-0.93478200
0.04609200,-0.93478200
0.04642600,-0.93478200
0.04676000,-0.93478200
0.04709400,-0.93478200
0.04742800,-0.93478200
0.04776200,-0.93478200
0.04809600,-0.93478200
0.04843000,-0.93478200
0.04876400,-0.93478200
0.04909800,-0.93478200
0.04943200,-0.93478200
0.04976600,-0.93478200
0.05010000,-0.93478200
0.05043400,-0.93478200
0.05076800,-0.93478200
0.05110200,-0.93478200
0.05143600,-0.93478200
0.05177000,-0.93478200
0.05210400,-0.93478200
0.05243800,-0.93478200
0.05277200,-0.93478200
0.05310600,-0.93478200
0.05344000,-0.93478200
0.05377400,-0.91708120
0.05410800,-0.91708120
0.05444200,-0.91708120
0.05477600,-0.91708120
0.05511000,-0.91708120
